
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
        Chlorostilbon poortmani            3                    3                    16
         Chlorostilbon russatus            1                    1                     2
        Chondrohierax uncinatus            4                    4                    34
            Chordeiles pusillus           20                   20                   180
           Chordeiles rupestris            1                    1                     4
         Chrysolampis mosquitus            2                    2                    74
    Chrysuronia coeruleogularis            5                    5                    51
            Chrysuronia goudoti           18                   18                   170
              Chrysuronia grayi            1                    1                    14
         Chrysuronia humboldtii            1                    1                     4
            Chrysuronia lilliae            2                    2                    13
             Chrysuronia oenone           14                   14                   358
         Chrysuronia versicolor            9                    9                    65
        Cinclodes albidiventris            2                    2                    12
            Cinclodes excelsior            6                    6                    37
              Claravis pretiosa           10                   10                   113
        Clibanornis rubiginosus            8                    8                   102
         Clibanornis rufipectus           26                   26                   354
            Clytoctantes alixii           39                   39                   462
                Coccycua minuta           20                   20                   236
                Coccycua pumila            4                    4                     9
            Coccyzus americanus            4                    4                    37
        Cochlearius cochlearius            4                    4                   266
           Coeligena bonapartei            3                    3                   122
            Coeligena coeligena            5                    5                   124
             Coeligena lutetiae            8                    8                   106
                Coeligena orina            4                    3                    23
            Coeligena phalerata            1                    1                    17
            Coeligena prunellei            6                    6                    33
             Coeligena torquata            1                    1                    24
              Coeligena wilsoni            6                    6                    86
            Colaptes punctigula           16                   16                   155
               Colaptes rivolii           33                   33                   547
           Colaptes rubiginosus           33                   33                   243
              Colibri coruscans           79                   79                  1411
               Colibri cyanotus          108                  108                  2305
              Colibri delphinae           23                   23                   447
              Colinus cristatus           27                   27                   342
               Columbina minuta           10                   10                   163
            Columbina passerina            9                    9                    78
            Columbina squammata           18                   18                   204
            Columbina talpacoti           20                   20                   211
               Coragyps atratus            1                    1                    16
            Cranioleuca curtata           25                   25                   476
          Cranioleuca erythrops           36                   36                   463
          Cranioleuca gutturata            9                    9                   167
          Cranioleuca hellmayri           33                   33                   457
        Cranioleuca subcristata            3                    3                   114
            Cranioleuca vulpina            2                    2                   113
                   Crax alberti           16                   16                   254
                   Crax alector            1                    1                    43
                Crax daubentoni            1                    1                    11
                 Crotophaga ani           63                   63                   855
               Crotophaga major           15                   15                   292
        Crotophaga sulcirostris           11                   11                    56
      Cryptoleucopteryx plumbea            1                    1                    72
        Crypturellus berlepschi            4                    4                    33
        Crypturellus casiquiare            1                    1                     9
          Crypturellus cinereus           56                   56                  1792
            Crypturellus duidae            2                    2                    23
        Crypturellus erythropus            4                    4                    85
           Crypturellus kerriae            1                    1                     3
         Crypturellus obsoletus            3                    3                    45
              Crypturellus soui           49                   49                   857
         Crypturellus undulatus           23                   23                   425
        Crypturellus variegatus            5                    5                    29
           Cymbilaimus lineatus           26                   26                   697
           Cypseloides cherriei            2                    2                    18
                  Daptrius ater           12                   12                   221
         Deconychura longicauda            4                    4                    82
        Dendrexetastes rufigula            5                    5                    75
        Dendrocincla fuliginosa           31                   31                   487
         Dendrocincla homochroa            5                    5                    55
            Dendrocincla merula            5                    5                    94
         Dendrocincla tyrannina           19                   19                   267
         Dendrocolaptes certhia           17                   17                   317
        Dendrocolaptes picumnus           21                   21                   618
    Dendrocolaptes sanctithomae            4                    4                    73
         Dendrocygna autumnalis           31                   31                   198
            Dendrocygna bicolor            2                    2                    14
            Dendrocygna viduata            8                    8                    32
          Dendroma erythroptera            2                    2                    48
                  Dendroma rufa            5                    5                    20
            Dendroplex kienerii            1                    1                     8
               Dendroplex picus           48                   48                   483
         Deroptyus accipitrinus            3                    3                    38
              Dichrozona cincta           20                   20                   508
              Doryfera johannae            1                    1                     2
             Doryfera ludovicae            5                    5                    61
          Dromococcyx pavoninus           16                   16                   242
       Dromococcyx phasianellus           12                   12                   153
             Drymophila caudata           11                   11                   209
           Drymophila hellmayri           33                   33                   509
             Drymophila klagesi           13                   13                   168
         Drymophila striaticeps           46                   46                   727
             Dryocopus lineatus           38                   38                   510
       Dysithamnus leucostictus            7                    7                   100
           Dysithamnus mentalis           59                   59                  1522
       Dysithamnus occidentalis           30                   30                   425
         Dysithamnus puncticeps            6                    6                   102
               Egretta caerulea            2                    2                    17
                  Egretta thula            6                    6                    31
           Elanoides forficatus            4                    4                    24
         Electron platyrhynchum            6                    6                   270
              Ensifera ensifera            3                    3                    62
    Epinecrophylla fulviventris           11                   11                   142
     Epinecrophylla haematonota           11                   11                   252
          Epinecrophylla ornata            3                    3                    24
      Epinecrophylla spodionota            6                    6                    33
       Eriocnemis cupreoventris            5                    5                    26
              Eriocnemis derbyi            3                    3                    13
             Eriocnemis vestita            4                    4                    78
             Eubucco bourcierii           19                   19                   192
            Eubucco richardsoni            6                    6                   195
          Euchrepomis callinota           12                   12                   246
            Eupsittula pertinax           28                   28                   469
                Eurypyga helias           14                   14                   297
               Eutoxeres aquila            2                    2                    54
              Falco deiroleucus            1                    1                     5
                Falco femoralis            5                    5                    73
              Falco rufigularis            4                    4                    28
               Falco sparverius            9                    9                   104
            Florisuga mellivora            6                    6                    30
             Formicivora grisea           25                   25                   554
         Formicivora intermedia           61                   61                   945
          Forpus conspicillatus           58                   58                   715
                Forpus modestus            2                    2                    64
              Forpus passerinus            4                    4                    42
                Forpus spengeli            2                    2                    28
             Frederickena fulva           21                   21                   470
               Fulica americana           16                   16                    93
          Furnarius cinnamomeus            1                    1                     3
             Furnarius leucopus            7                    7                   117
         Furnarius longirostris           22                   22                   169
                Furnarius minor            2                    2                     4
      Galbalcyrhynchus leucotis            4                    4                    35
            Galbula albirostris            1                    1                     4
                    Galbula dea            1                    1                     4
                Galbula galbula            7                    7                    56
            Galbula leucogastra           44                   44                   464
               Galbula pastazae            2                    2                    40
              Galbula ruficauda           39                   39                   433
               Galbula tombacea           11                   11                   113
              Gallinago nobilis           17                   17                    93
             Gallinago undulata            1                    1                     2
              Gallinula galeata           25                   25                   145
                  Gallus gallus            3                    3                    87
           Gampsonyx swainsonii            4                    4                    28
              Geotrygon montana           14                   14                   235
            Geotrygon saphirina            1                    1                     8
       Geranoaetus albicaudatus           17                   17                   389
       Geranoaetus melanoleucus            4                    4                    41
       Geranospiza caerulescens            1                    1                    10
         Glaucidium brasilianum           45                   45                   629
          Glaucidium griseiceps            1                    1                     8
            Glaucidium jardinii           34                   33                   637
            Glaucidium nubicola           12                   12                   123
             Glaucidium parkeri            3                    3                    31
               Glaucis hirsutus            4                    4                    80
         Glyphorynchus spirurus           22                   22                   374
           Grallaria saltuensis           16                   16                   285
             Grallaria saturata            6                    6                    83
            Grallaria spatiator           17                   17                   162
      Graydidascalus brachyurus            4                    4                    64
           Gymnocichla nudiceps           23                   23                   411
            Gymnopithys bicolor            8                    8                   117
          Gymnopithys leucaspis           18                   18                   253
           Gymnopithys rufigula            1                    1                    32
       Hapalopsittaca amazonina           19                   19                   147
        Hapalopsittaca fuertesi           11                   11                   146
           Hapaloptila castanea            2                    2                    15
          Haplophaedia aureliae           13                   13                   109
            Haplophaedia lugens            2                    2                    10
            Harpagus bidentatus            1                    1                     2
           Heliangelus clarisse            7                    7                    81
            Heliangelus exortis            9                    9                    82
           Helicolestes hamatus            1                    1                    26
           Heliodoxa imperatrix            2                    2                     9
