
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
          Synallaxis gujanensis           10                   10                   167
              Synallaxis moesta            4                    4                    40
            Synallaxis rutilans           15                   15                   375
           Synallaxis subpudica           37                   37                   256
             Synallaxis unirufa           56                   56                  1016
           Syndactyla subalaris           31                   31                   674
             Syrigma sibilatrix            7                    7                    75
        Systellura longirostris           35                   34                   469
             Tachornis squamata            7                    7                    52
          Tachybaptus dominicus            8                    8                    70
        Talaphorus chlorocercus            2                    2                    29
                  Tapera naevia           37                   37                   511
                   Taraba major           30                   30                   464
           Thalurania colombica            9                    9                    63
             Thalurania furcata            8                    8                    61
          Thamnistes anabatinus            8                    8                    95
         Thamnomanes ardesiacus           14                   14                   167
            Thamnomanes caesius           20                   20                   366
          Thamnophilus aethiops           16                   16                   507
        Thamnophilus amazonicus           50                   50                   931
         Thamnophilus atrinucha           53                   53                  1005
      Thamnophilus cryptoleucus            2                    2                    33
          Thamnophilus doliatus           32                   32                   438
       Thamnophilus melanonotus           14                   14                   110
     Thamnophilus multistriatus           91                   91                  1389
           Thamnophilus murinus           30                   30                   428
         Thamnophilus nigriceps           10                   10                   124
     Thamnophilus nigrocinereus           15                   15                   192
         Thamnophilus palliatus            7                    7                   157
           Thamnophilus praecox            4                    4                   121
         Thamnophilus punctatus            6                    6                   165
       Thamnophilus schistaceus            5                    5                    60
    Thamnophilus tenuepunctatus            6                    6                    69
          Thamnophilus unicolor           52                   52                  1416
     Thectocercus acuticaudatus           11                   11                   411
           Theristicus caudatus           18                   18                   149
              Threnetes ruckeri            2                    2                    22
       Thripadectes flammulatus           24                   24                   364
       Thripadectes holostictus           28                   28                   473
         Thripadectes ignobilis           14                   14                   322
    Thripadectes melanorhynchus           12                   12                   167
       Thripadectes virgaticeps           36                   36                   572
           Thripophaga cherriei           18                   18                   389
             Tigrisoma lineatum            3                    3                    13
            Tigrisoma mexicanum            1                    1                    32
               Tinamus guttatus            5                    5                    24
                  Tinamus major            6                    6                    74
                Tinamus osgoodi            3                    3                    41
                    Tinamus tao            3                    3                    93
                    Topaza pyra            8                    8                   131
            Touit dilectissimus            3                    3                    33
                   Touit huetii            4                    4                    66
             Touit stictopterus            1                    1                     9
                Tringa flavipes            3                    3                    45
             Tringa melanoleuca            8                    8                    48
             Tringa semipalmata            1                    1                     6
               Tringa solitaria            7                    7                    63
               Trogon caligatus            5                    5                    66
               Trogon chionurus           26                   26                   412
                Trogon collaris           36                   36                   716
                 Trogon curucui            9                    9                   109
               Trogon melanurus           23                   23                   569
              Trogon personatus           61                   61                  1383
              Trogon ramonianus            4                    4                   101
                   Trogon rufus           10                   10                   157
               Trogon violaceus           12                   12                   223
                 Trogon viridis           61                   61                  1324
                   Tyto furcata           10                   10                   109
            Uranomitra franciae           32                   32                   546
              Urochroa bougueri            2                    2                    33
               Urochroa leucura            1                    1                     5
                 Uropsalis lyra            2                    2                    30
           Uropsalis segmentata            1                    1                    20
             Vanellus chilensis           74                   74                   782
           Vanellus resplendens            1                    1                     6
            Veniliornis affinis            3                    3                    26
             Veniliornis dignus            1                    1                    29
             Veniliornis kirkii            9                    9                    54
                 Vultur gryphus            3                    3                    12
       Willisornis poecilinotus           27                   27                   583
            Xenerpestes minlosi            1                    1                     5
                 Xenops minutus            7                    7                   137
                Xenops rutilans           16                   16                   166
            Xenops tenuirostris            1                    1                     4
             Xenornis setifrons            1                    1                    10
Xiphocolaptes promeropirhynchus           46                   46                   498
     Xiphorhynchus chunchotambo            4                    4                    17
          Xiphorhynchus elegans            1                    1                     7
    Xiphorhynchus erythropygius            9                    9                    93
         Xiphorhynchus guttatus           14                   14                   257
      Xiphorhynchus lachrymosus            1                    1                     5
        Xiphorhynchus obsoletus           12                   12                   240
        Xiphorhynchus susurrans           51                   51                  1097
     Xiphorhynchus triangularis            1                    1                     6
               Zenaida asiatica            1                    1                     3
             Zenaida auriculata            6                    6                    63
              Zentrygon frenata            8                    8                   114
             Zentrygon linearis           18                   18                   274

[TOTALES]
Total especies:                774
Total audios:                  10694
Total archivos embeddings:     10680
Total segmentos (embeddings):  174928


==================================================
Resumen de: limpieza_datos/datos_fase2
==================================================
               Especie  audios_json  archivos_embeddings  segmentos_embeddings
Basileuterus delattrii           21                    1                   371
  Grallaria saltuensis           16                    1                   262
    Grallaria saturata            5                    1                    37
   Grallaria spatiator           15                    1                   127
       Pyriglena maura           16                    1                   675
   Saltator olivascens           25                    1                   328

[TOTALES]
Total especies:                6
Total audios:                  98
Total archivos embeddings:     6
Total segmentos (embeddings):  1800


==================================================
Resumen de: limpieza_datos/datos_fase2v2
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
                 Aburria aburri           16                    1                   467
             Accipiter collaris            1                    1                     9
             Accipiter striatus            1                    1                     1
            Accipiter ventralis            7                    1                    79
             Actitis macularius            5                    1                    16
          Adelomyia melanogenys           41                    1                   604
              Aegolius harrisii            3                    1                    96
          Aeronautes montivagus            3                    1                    28
         Aglaeactis cupripennis            3                    1                    64
         Aglaiocercus coelestis            5                    1                    34
            Aglaiocercus kingii            5                    1                    66
          Amaurolimnas concolor            2                    1                    25
               Amazilia tzacatl           13                    1                    97
              Amazona amazonica           14                    1                   162
             Amazona autumnalis            1                    1                    38
               Amazona farinosa           53                    1                  1180
                Amazona festiva            2                    1                    23
            Amazona mercenarius           26                    1                   370
           Amazona ochrocephala           43                    1                   698
            Ammonastes pelzelni           18                    1                   555
       Anabacerthia ruficaudata            1                    1                     3
     Anabacerthia striaticollis           29                    1                   197
                    Anas andium            8                    1                    41
            Andigena hypoglauca           14                    1                   139
         Andigena laminirostris           13                    1                   155
          Andigena nigrirostris           57                    1                   974
         Androdon aequatorialis            6                    1                   147
                 Anhima cornuta           15                    1                   195
                Anhinga anhinga            5                    1                    30
                    Anser anser            1                    1                     7
                Anser cygnoides            1                    1                     4
        Anthocephala berlepschi            4                    1                    47
         Anthocephala floriceps            5                    1                    75
     Anthracothorax nigricollis            5                    1                    66
         Aprositornis disjuncta           11                    1                   217
                   Ara ararauna           10                    1                   171
               Ara chloropterus            2                    1                    23
                      Ara macao           15                    1                   121
                  Ara militaris           23                    1                   247
                    Ara severus           35                    1                   400
             Aramides axillaris            1                    1                     3
              Aramides cajaneus           28                    1                   439
                 Aramides wolfi            6                    1                   209
                Aramus guarauna           10                    1                   201
             Aratinga weddellii            2                    1                    27
                     Ardea alba            4                    1                    20
                    Ardea cocoi            4                    1                    70
                  Asio clamator            9                    1                   103
                  Asio flammeus            1                    1                    14
                   Asio stygius            4                    1                    53
            Asthenes flammulata           12                    1                    85
            Asthenes fuliginosa           23                    1                   234
              Asthenes perijana           15                    1                   181
                Asthenes wyatti           10                    1                   233
             Athene cunicularia            4                    1                    46
                   Attagis gayi            5                    1                    54
       Aulacorhynchus albivitta           75                    1                  1669
    Aulacorhynchus haematopygus           41                    1                   583
        Aulacorhynchus sulcatus            5                    1                    50
           Automolus infuscatus            7                    1                   140
          Automolus ochrolaemus           36                    1                   807
         Automolus rufipileatus            4                    1                    54
            Automolus subulatus            8                    1                    82
             Automolus virgatus           12                    1                   120
           Baryphthengus martii            7                    1                    92
         Basileuterus delattrii           20                    1                   354
        Boissonneaua flavescens           17                    1                   305
  Bolborhynchus ferrugineifrons           10                    1                    71
          Bolborhynchus lineola            6                    1                    73
           Brachygalba goeringi            2                    1                    28
           Brachygalba lugubris           13                    1                    97
          Brotogeris cyanoptera           18                    1                   447
           Brotogeris jugularis           37                    1                   411
        Brotogeris sanctithomae            2                    1                    27
               Bubo virginianus            4                    1                    40
                 Bucco capensis            2                    1                    36
            Bucco macrodactylus            2                    1                    10
                 Bucco noanamae            2                    1                   157
                  Bucco tamatia            6                    1                   153
               Buteo brachyurus            1                    1                     3
                  Buteo nitidus           30                    1                   341
              Buteo platypterus           14                    1                   110
       Buteogallus meridionalis            3                    1                    34
        Buteogallus schistaceus            5                    1                    46
         Buteogallus solitarius            1                    1                     6
         Buteogallus urubitinga            9                    1                   148
              Butorides striata           13                    1                    56
               Cacatua galerita            1                    1                     2
               Cairina moschata            1                    1                     8
             Calidris minutilla            1                    1                     3
      Campephilus haematogaster            6                    1                   111
       Campephilus melanoleucos           30                    1                   858
            Campephilus pollens           21                    1                   351
        Campephilus rubricollis            9                    1                   100
         Campylopterus falcatus           13                    1                   233
     Campylopterus phainopeplus            8                    1                   224
       Campylorhamphus pusillus           16                    1                   184
Campylorhamphus trochilirostris           28                    1                   202
                 Capito auratus           37                    1                   267
              Capito aurovirens            5                    1                    79
              Capito hypoleucus           17                    1                   226
         Capito maculicoronatus            1                    1                     2
             Capito quinticolor            1                    1                     4
               Caracara plancus            5                    1                    50
                 Celeus elegans            4                    1                    25
                  Celeus flavus            8                    1                   180
               Celeus grammicus           27                    1                   489
               Celeus loricatus            3                    1                    23
             Celeus spectabilis            2                    1                    29
               Celeus torquatus            2                    1                    15
              Cercibis oxycerca           11                    1                   160
         Cercomacra cinerascens           24                    1                   435
           Cercomacra nigricans           52                    1                   756
      Cercomacroides fuscicauda            6                    1                    42
      Cercomacroides nigrescens            2                    1                    21
         Cercomacroides parkeri           72                    1                  1261
           Cercomacroides serva            8                    1                    69
       Cercomacroides tyrannina           55                    1                   971
         Certhiaxis cinnamomeus            9                    1                   120
           Chaetocercus mulsant            4                    1                    20
             Chaetura brachyura            6                    1                    35
        Chaetura cinereiventris            9                    1                    80
               Chaetura egregia            1                    1                     9
           Chalcostigma herrani            2                    1                    14
       Chalcostigma heteropogon            3                    1                     7
           Chalybura urochrysia            1                    1                     1
           Chamaepetes goudotii           17                    1                   460
           Charadrius vociferus            9                    1                    20
                Chauna chavaria           12                    1                   189
         Chelidoptera tenebrosa           10                    1                    47
           Chionomesa fimbriata            8                    1                    76
              Chlorestes cyanus           11                    1                   245
               Chlorestes julie            2                    1                    17
             Chloroceryle aenea            2                    1                     8
           Chloroceryle amazona            6                    1                    32
         Chloroceryle americana            6                    1                    36
          Chlorostilbon gibsoni           11                    1                    74
   Chlorostilbon melanorhynchus            2                    1                     7
        Chlorostilbon poortmani            3                    1                    16
         Chlorostilbon russatus            1                    1                     2
        Chondrohierax uncinatus            4                    1                    34
            Chordeiles pusillus           20                    1                   165
           Chordeiles rupestris            1                    1                     4
         Chrysolampis mosquitus            2                    1                    74
    Chrysuronia coeruleogularis            5                    1                    51
            Chrysuronia goudoti           18                    1                   152
         Chrysuronia humboldtii            1                    1                     4
             Chrysuronia oenone           13                    1                   283
         Chrysuronia versicolor            8                    1                    59
            Cinclodes excelsior            6                    1                    35
              Claravis pretiosa            9                    1                    80
        Clibanornis rubiginosus            7                    1                    96
         Clibanornis rufipectus           23                    1                   268
            Clytoctantes alixii           38                    1                   454
                Coccycua minuta           20                    1                   202
                Coccycua pumila            4                    1                     9
            Coccyzus americanus            4                    1                    36
        Cochlearius cochlearius            4                    1                   257
           Coeligena bonapartei            3                    1                    98
            Coeligena coeligena            4                    1                   109
             Coeligena lutetiae            8                    1                    86
            Coeligena prunellei            5                    1                    26
              Coeligena wilsoni            5                    1                    80
            Colaptes punctigula           16                    1                   152
               Colaptes rivolii           32                    1                   422
           Colaptes rubiginosus           30                    1                   176
              Colibri coruscans           73                    1                  1135
               Colibri cyanotus           90                    1                  1824
              Colibri delphinae           23                    1                   429
              Colinus cristatus           25                    1                   297
               Columbina minuta           10                    1                   151
            Columbina passerina            9                    1                    76
            Columbina squammata           15                    1                   163
            Columbina talpacoti           15                    1                   157
            Cranioleuca curtata           22                    1                   422
          Cranioleuca erythrops           31                    1                   393
          Cranioleuca gutturata            8                    1                   135
          Cranioleuca hellmayri           33                    1                   410
        Cranioleuca subcristata            3                    1                   106
            Cranioleuca vulpina            2                    1                   113
                   Crax alberti           15                    1                   228
                   Crax alector            1                    1                    26
                 Crotophaga ani           60                    1                   655
               Crotophaga major           11                    1                   246
        Crotophaga sulcirostris           11                    1                    49
      Cryptoleucopteryx plumbea            1                    1                    72
        Crypturellus berlepschi            4                    1                    33
        Crypturellus casiquiare            1                    1                     9
          Crypturellus cinereus           38                    1                  1142
            Crypturellus duidae            2                    1                    22
        Crypturellus erythropus            3                    1                    73
           Crypturellus kerriae            1                    1                     3
         Crypturellus obsoletus            3                    1                    45
              Crypturellus soui           46                    1                   701
         Crypturellus undulatus           19                    1                   264
        Crypturellus variegatus            5                    1                    25
           Cymbilaimus lineatus           20                    1                   552
                  Daptrius ater           12                    1                   201
         Deconychura longicauda            4                    1                    75
        Dendrexetastes rufigula            4                    1                    71
        Dendrocincla fuliginosa           26                    1                   418
         Dendrocincla homochroa            5                    1                    43
            Dendrocincla merula            5                    1                    90
         Dendrocincla tyrannina           19                    1                   205
         Dendrocolaptes certhia           16                    1                   280
        Dendrocolaptes picumnus           18                    1                   525
    Dendrocolaptes sanctithomae            4                    1                    56
         Dendrocygna autumnalis           30                    1                   171
            Dendrocygna viduata            8                    1                    32
          Dendroma erythroptera            2                    1                    47
            Dendroplex kienerii            1                    1                     8
               Dendroplex picus           45                    1                   456
         Deroptyus accipitrinus            3                    1                    33
              Dichrozona cincta           19                    1                   473
              Doryfera johannae            1                    1                     2
             Doryfera ludovicae            5                    1                    59
          Dromococcyx pavoninus           16                    1                   210
       Dromococcyx phasianellus           12                    1                   144
             Drymophila caudata           11                    1                   183
           Drymophila hellmayri           33                    1                   496
             Drymophila klagesi           12                    1                   130
         Drymophila striaticeps           45                    1                   673
             Dryocopus lineatus           37                    1                   481
       Dysithamnus leucostictus            7                    1                    93
           Dysithamnus mentalis           48                    1                  1090
       Dysithamnus occidentalis           27                    1                   324
         Dysithamnus puncticeps            6                    1                    89
                  Egretta thula            6                    1                    31
           Elanoides forficatus            4                    1                    22
         Electron platyrhynchum            4                    1                   194
              Ensifera ensifera            3                    1                    60
    Epinecrophylla fulviventris           11                    1                   135
     Epinecrophylla haematonota           11                    1                   221
          Epinecrophylla ornata            3                    1                    24
      Epinecrophylla spodionota            6                    1                    33
       Eriocnemis cupreoventris            5                    1                    25
             Eriocnemis vestita            4                    1                    62
             Eubucco bourcierii           18                    1                   149
            Eubucco richardsoni            6                    1                   178
          Euchrepomis callinota           11                    1                   205
            Eupsittula pertinax           16                    1                   317
                Eurypyga helias           12                    1                   268
               Eutoxeres aquila            2                    1                    54
              Falco deiroleucus            1                    1                     5
                Falco femoralis            4                    1                    66
              Falco rufigularis            4                    1                    20
               Falco sparverius            9                    1                    92
            Florisuga mellivora            5                    1                    27
             Formicivora grisea           24                    1                   509
         Formicivora intermedia           53                    1                   733
          Forpus conspicillatus           55                    1                   609
                Forpus modestus            1                    1                    26
              Forpus passerinus            4                    1                    39
                Forpus spengeli            2                    1                    23
             Frederickena fulva           18                    1                   402
               Fulica americana           15                    1                    82
          Furnarius cinnamomeus            1                    1                     3
             Furnarius leucopus            7                    1                   111
         Furnarius longirostris           22                    1                   158
                Furnarius minor            2                    1                     4
      Galbalcyrhynchus leucotis            4                    1                    28
            Galbula albirostris            1                    1                     4
                    Galbula dea            1                    1                     4
                Galbula galbula            5                    1                    41
            Galbula leucogastra           43                    1                   372
               Galbula pastazae            2                    1                    37
              Galbula ruficauda           31                    1                   308
               Galbula tombacea            8                    1                    93
              Gallinago nobilis           17                    1                    91
             Gallinago undulata            1                    1                     2
              Gallinula galeata           20                    1                    94
                  Gallus gallus            3                    1                    84
           Gampsonyx swainsonii            4                    1                    27
              Geotrygon montana           14                    1                   209
            Geotrygon saphirina            1                    1                     8
       Geranoaetus albicaudatus           17                    1                   363
       Geranoaetus melanoleucus            4                    1                    41
         Glaucidium brasilianum           34                    1                   513
          Glaucidium griseiceps            1                    1                     8
            Glaucidium jardinii           33                    1                   620
            Glaucidium nubicola           11                    1                   112
               Glaucis hirsutus            4                    1                    76
         Glyphorynchus spirurus           22                    1                   323
           Grallaria saltuensis           15                    1                   255
             Grallaria saturata            6                    1                    78
            Grallaria spatiator           16                    1                   133
      Graydidascalus brachyurus            4                    1                    58
           Gymnocichla nudiceps           23                    1                   356
            Gymnopithys bicolor            8                    1                   110
          Gymnopithys leucaspis           18                    1                   218
           Gymnopithys rufigula            1                    1                    32
       Hapalopsittaca amazonina           18                    1                   138
        Hapalopsittaca fuertesi            9                    1                    88
          Haplophaedia aureliae           12                    1                    95
            Harpagus bidentatus            1                    1                     2
           Heliangelus clarisse            7                    1                    73
            Heliangelus exortis            9                    1                    71
           Helicolestes hamatus            1                    1                    26
           Heliodoxa imperatrix            2                    1                     9
           Heliodoxa rubinoides           10                    1                   135
               Heliornis fulica            1                    1                     4
             Heliothryx auritus            1                    1                     7
             Hellmayrea gularis           25                    1                   428
       Herpetotheres cachinnans           24                    1                   606
        Herpsilochmus axillaris           12                    1                    65
   Herpsilochmus dorsimaculatus           52                    1                   551
          Herpsilochmus dugandi            1                    1                    20
           Herpsilochmus frater           10                    1                   158
           Himantopus mexicanus            4                    1                    46
          Hoploxypterus cayanus            4                    1                    28
        Hydropsalis cayennensis            3                    1                    23
       Hydropsalis climacocerca            8                    1                   110
       Hydropsalis maculicaudus            6                    1                   135
       Hylexetastes stresemanni            1                    1                    21
          Hylophylax naevioides            2                    1                    40
             Hylophylax naevius           24                    1                   774
         Hylophylax punctulatus            9                    1                    86
             Hypnelus bicinctus           12                    1                   121
            Hypnelus ruficollis            6                    1                    50
            Hypocnemis cantator           23                    1                   400
          Hypocnemis flavescens           28                    1                   614
          Hypocnemis hypoxantha            7                    1                   102
           Hypocnemis peruviana            6                    1                    98
      Hypocnemoides melanopogon           41                    1                   575
             Ibycter americanus           34                    1                   564
                Ictinia plumbea            1                    1                     4
              Isleria hauxwelli            3                    1                    73
              Jacamerops aureus           18                    1                   445
                  Jacana jacana           14                    1                   157
                  Klais guimeti            2                    1                    12
         Laterallus albigularis           23                    1                   225
              Laterallus exilis            4                    1                    32
        Laterallus melanophaius            2                    1                    48
          Lepidocolaptes duidae            2                    1                    14
      Lepidocolaptes lacrymiger           17                    1                   153
      Lepidocolaptes souleyetii           10                    1                    51
         Leptasthenura andicola           13                    1                    94
            Leptodon cayanensis            8                    1                   140
         Leptosittaca branickii           53                    1                  1079
             Leptotila cassinii            3                    1                    69
             Leptotila conoveri           17                    1                   209
          Leptotila plumbeiceps            7                    1                   126
            Leptotila rufaxilla           19                    1                   600
            Leptotila verreauxi           26                    1                   411
                    Lesbia nuna            3                    1                     8
               Lesbia victoriae            5                    1                    24
       Leuconotopicus fumigatus           14                    1                   197
          Leucopternis melanops            3                    1                    32
              Lochmias nematura            3                    1                    37
            Lophostrix cristata            6                    1                   105
          Lurocalis rufiventris            4                    1                   124
        Lurocalis semitorquatus            1                    1                     1
       Malacoptila fulvogularis            5                    1                    84
         Malacoptila mystacalis           29                    1                   328
         Malacoptila panamensis            2                    1                     9
          Margarornis squamiger            8                    1                   116
          Margarornis stellatus            4                    1                    34
            Megaceryle torquata           18                    1                   213
          Megascops albogularis           16                    1                   193
            Megascops centralis            8                    1                   118
              Megascops choliba           49                    1                   566
              Megascops clarkii            1                    1                     6
               Megascops gilesi           25                    1                   445
               Megascops ingens           16                    1                   278
            Megascops petersoni            2                    1                    29
             Megascops roraimae            5                    1                   250
             Megascops watsonii            7                    1                   154
       Megastictus margaritatus           14                    1                   392
          Melanerpes cruentatus           12                    1                   121
        Melanerpes formicivorus           18                    1                   183
             Melanerpes pulcher            6                    1                    41
       Melanerpes rubricapillus           33                    1                   262
      Mesembrinibis cayennensis           13                    1                   158
             Metallura iracunda            4                    1                    39
          Metallura tyrianthina           71                    1                  1072
             Metallura williami            1                    1                     5
             Micrastur buckleyi            1                    1                    26
          Micrastur gilvicollis            6                    1                   128
          Micrastur mirandollei            2                    1                    49
             Micrastur plumbeus            3                    1                    23
           Micrastur ruficollis           29                    1                   840
        Micrastur semitorquatus           13                    1                   347
        Micromonacha lanceolata            6                    1                    30
         Microrhopias quixensis            7                    1                    80
             Milvago chimachima           64                    1                   523
                   Mitu salvini            8                    1                   341
                Mitu tomentosum           12                    1                   598
          Momotus aequatorialis           33                    1                   568
                 Momotus momota           16                    1                   411
           Momotus subrufescens           12                    1                   218
            Monasa flavirostris            6                    1                    56
               Monasa morphoeus           17                    1                   224
              Monasa nigrifrons            5                    1                    69
       Mustelirallus albicollis            6                    1                    58
             Myrmeciza longipes           47                    1                   628
        Myrmelastes leucostigma           24                    1                   344
        Myrmelastes schistaceus            3                    1                    63
          Myrmoborus leucophrys           16                    1                   325
            Myrmoborus lugubris            1                    1                     9
         Myrmoborus myotherinus           39                    1                   713
         Myrmochanes hemileucus            2                    1                    39
         Myrmophylax atrothorax           39                    1                   785
           Myrmotherula ambigua           29                    1                   356
         Myrmotherula axillaris           31                    1                   525
         Myrmotherula brachyura           10                    1                   163
          Myrmotherula cherriei           35                    1                   472
            Myrmotherula ignota            7                    1                    49
       Myrmotherula longipennis            3                    1                    90
       Myrmotherula menetriesii            2                    1                    37
      Myrmotherula multostriata            5                    1                   125
          Myrmotherula pacifica           15                    1                   211
      Myrmotherula schisticolor           18                    1                   237
        Nannopterum brasilianum            3                    1                    25
            Nasica longirostris           10                    1                    71
                 Neochen jubata            2                    1                     8
               Neoctantes niger           12                    1                   165
       Notharchus hyperrhynchus            6                    1                    86
               Notharchus ordii            2                    1                    31
          Notharchus pectoralis            6                    1                    58
              Notharchus tectus            5                    1                    62
         Nothocercus bonapartei            9                    1                    87
             Nothocercus julius           16                    1                   308
             Nothocrax urumutum            3                    1                    66
            Numenius hudsonicus            2                    1                     4
           Nyctibius bracteatus            1                    1                     2
              Nyctibius grandis            8                    1                   129
              Nyctibius griseus           31                    1                   438
          Nycticorax nycticorax            8                    1                    32
         Nyctidromus albicollis           41                    1                   623
         Nyctiphrynus ocellatus            1                    1                     4
        Nyctiphrynus rosenbergi            2                    1                    30
          Nyctiprogne leucopyga            5                    1                    75
                Nystalus obamai            6                    1                   220
              Nystalus radiatus            7                    1                    60
           Ocreatus underwoodii           23                    1                   146
         Odontophorus atrifrons           14                    1                   196
         Odontophorus erythrops            3                    1                    67
        Odontophorus gujanensis            9                    1                   160
       Odontophorus hyperythrus           46                    1                   785
       Odontophorus melanonotus            5                    1                    32
         Odontophorus strophium           19                    1                   268
         Ognorhynchus icterotis           67                    1                   789
            Opisthocomus hoazin           11                    1                   192
             Ortalis columbiana           93                    1                  1886
           Ortalis erythroptera            1                    1                    12
                Ortalis garrula           28                    1                   423
                Ortalis guttata           16                    1                   212
              Ortalis ruficauda           18                    1                   182
        Orthopsittaca manilatus            9                    1                   117
           Oxypogon cyanolaemus            3                    1                    30
              Oxypogon guerinii            4                    1                    30
             Oxypogon stuebelii           12                    1                   164
             Oxyura jamaicensis            1                    1                     4
              Pandion haliaetus            3                    1                    21
          Parabuteo leucorrhous           12                    1                   125
          Pardirallus nigricans            9                    1                    73
        Patagioenas cayennensis           20                    1                   193
           Patagioenas fasciata           12                    1                   167
           Patagioenas goodsoni            8                    1                   135
       Patagioenas leucocephala            3                    1                    37
            Patagioenas plumbea           29                    1                   468
           Patagioenas speciosa           10                    1                   172
         Patagioenas subvinacea           43                    1                   448
                 Pavo cristatus            2                    1                     6
             Penelope argyrotis           21                    1                   462
              Penelope jacquacu            5                    1                    98
             Penelope montagnii           45                    1                  1092
             Penelope perspicax           31                    1                  1188
          Penelope purpurascens            8                    1                   237
             Percnostola fortis            3                    1                    41
         Percnostola immaculata           17                    1                   222
         Percnostola melanoceps           12                    1                   125
          Percnostola rufifrons           56                    1                  1160
        Phacellodomus inornatus           15                    1                   255
        Phacellodomus rufifrons            6                    1                    62
       Phaenostictus mcleannani            4                    1                    46
        Phaethornis anthophilus            9                    1                   191
       Phaethornis atrimentalis            2                    1                    30
          Phaethornis bourcieri           10                    1                    96
      Phaethornis griseogularis            7                    1                   137
                Phaethornis guy           48                    1                   994
           Phaethornis hispidus            1                    1                     5
       Phaethornis longirostris            1                    1                     5
            Phaethornis malaris            9                    1                   144
              Phaethornis ruber            4                    1                    31
          Phaethornis rupurumii            1                    1                     7
       Phaethornis striigularis           11                    1                   172
      Phaethornis syrmatophorus           23                    1                   649
            Phaethornis yaruqui           12                    1                   351
               Phaetusa simplex           11                    1                    77
        Pharomachrus antisianus           12                    1                   117
          Pharomachrus auriceps           38                    1                   431
          Pharomachrus fulgidus           23                    1                   398
         Pharomachrus pavoninus           15                    1                   270
         Philydor erythrocercum            2                    1                    13
            Philydor fuscipenne            8                    1                   131
            Phimosus infuscatus            4                    1                    59
       Phlegopsis nigromaculata            5                    1                    32
      Phlogophilus hemileucurus            7                    1                    58
                   Piaya cayana           22                    1                   261
             Piaya melanogaster            1                    1                     6
          Piculus chrysochloros            1                    1                     5
           Picumnus cinnamomeus            5                    1                    34
                Picumnus exilis            4                    1                    57
           Picumnus granadensis           17                    1                    94
            Picumnus lafresnayi            4                    1                    49
             Picumnus olivaceus           21                    1                   259
               Picumnus pumilus            3                    1                    53
           Picumnus squamulatus            6                    1                    39
        Pionites melanocephalus           34                    1                   382
            Pionus chalcopterus           14                    1                   167
               Pionus menstruus           53                    1                   380
              Pionus seniloides           22                    1                   281
                Pionus sordidus            6                    1                    73
             Pionus tumultuosus            1                    1                     6
              Pipile cumanensis            7                    1                    31
               Pithys albifrons            6                    1                    59
           Plegadis falcinellus            2                    1                     2
            Podilymbus podiceps           16                    1                   106
              Poliocrania exsul           40                    1                   640
             Polyerata amabilis           14                    1                   119
           Polyerata rosenbergi            2                    1                    33
             Polytmus guainumbi            4                    1                    24
             Polytmus theresiae            8                    1                    81
            Porphyrio martinica            8                    1                    33
           Porphyriops melanops            8                    1                    31
         Premnoplex brunnescens           31                    1                   596
          Premnornis guttuliger            4                    1                    36
  Pseudocolaptes boissonneautii           14                    1                    68
        Pseudocolaptes johnsoni           12                    1                    98
      Psittacara leucophthalmus            2                    1                    66
             Psittacara wagleri           48                    1                   670
              Psophia crepitans            8                    1                   557
        Pteroglossus castanotis            8                    1                    84
        Pteroglossus inscriptus            1                    1                     6
      Pteroglossus pluricinctus            5                    1                    35
        Pteroglossus sanguineus            4                    1                    36
         Pteroglossus torquatus            2                    1                    21
             Pulsatrix melanota           14                    1                   268
        Pulsatrix perspicillata           12                    1                   440
            Pyriglena leuconota            1                    1                     9
                Pyriglena maura           20                    1                   619
             Pyrilia barrabandi            8                    1                    65
             Pyrilia haematotis            1                    1                     7
                Pyrilia pyrilia            4                    1                    34
            Pyrrhura calliptera           16                    1                   172
              Pyrrhura melanura            8                    1                    82
                 Pyrrhura picta            3                    1                    40
            Pyrrhura viridicata           15                    1                   172
            Rallus longirostris            1                    1                     5
            Rallus semiplumbeus           48                    1                   275
            Ramphastos ambiguus           31                    1                   762
              Ramphastos brevis           12                    1                   189
        Ramphastos citreolaemus            5                    1                    85
          Ramphastos sulfuratus           12                    1                   299
             Ramphastos tucanus           36                    1                  1333
          Ramphastos vitellinus           16                    1                   288
           Ramphomicron dorsale            4                    1                    41
     Ramphomicron microrhynchum            6                    1                    69
         Rhegmatorhina cristata           15                    1                   169
     Rhegmatorhina melanosticta            3                    1                    42
          Rostrhamus sociabilis            3                    1                    56
        Rufirallus castaneiceps            5                    1                    54
             Rufirallus viridis           10                    1                   115
          Rupornis magnirostris          123                    1                  1502
                 Rynchops niger            4                    1                    44
         Sakesphorus canadensis           39                    1                   501
            Saltator olivascens           30                    1                   377
                Sapayoa aenigma            2                    1                    47
    Saucerottia castaneiventris            5                    1                    42
         Saucerottia cyanifrons            6                    1                    18
        Saucerottia saucerottei            9                    1                    34
           Schistes albogularis            8                    1                   145
               Sclateria naevia           20                    1                   315
          Sclerurus albigularis           10                    1                   192
            Sclerurus obscurior           27                    1                   302
          Sclerurus rufigularis            4                    1                    90
         Selenidera reinwardtii            3                    1                    26
